epoch,agent/cur_q1,agent/cur_q2,agent/diff_loss,agent/guide_loss,agent/lmbda,agent/policy_grad_norm,agent/policy_loss,agent/policy_weight_norm,agent/qf1_grad_norm,agent/qf1_loss,agent/qf1_weight_norm,agent/qf2_grad_norm,agent/qf2_loss,agent/qf2_weight_norm,agent/qf_loss,agent/tgt_q,agent/tgt_q1,agent/tgt_q2,average_return,average_traj_length,average_normalizd_return,average_10_normalized_return,best_normalized_return,done,train_time,eval_time,epoch_time
34,182.86354,183.53555,0.10628474,-1.998459,0.0106962,0.4488876,-1.8921742,35.21422,558.0481,38.36399,48.86709,690.1355,41.229553,48.96924,79.593544,182.87552,184.09058,183.93478,841.4689,299.2,0.18294489937779615,0.06705716394774269,0.18294489937779615,1.0,5.42816686630249,8.58306884765625e-06,5.428175449371338
35,181.44577,181.60707,0.15972838,-2.0,0.010846147,0.5288647,-1.8402716,35.40274,516.11444,29.360617,49.36027,562.769,34.36493,49.45659,63.725548,181.41942,182.09982,181.60486,841.4689,299.2,0.18294489937779615,0.06705716394774269,0.18294489937779615,1.0,5.657235145568848,8.344650268554688e-06,5.657243490219116
36,181.13556,180.77252,0.12340905,-1.998631,0.010886019,0.74218535,-1.875222,35.58835,476.03433,42.15763,49.84021,548.511,42.19841,49.95103,84.35604,181.91705,182.40086,182.07664,841.4689,299.2,0.18294489937779615,0.06705716394774269,0.18294489937779615,1.0,5.4703874588012695,8.58306884765625e-06,5.470396041870117
37,168.03598,168.23686,0.14876007,-1.9978708,0.011676965,0.5060323,-1.8491107,35.78005,462.88943,44.284794,50.297775,520.5771,53.451614,50.407387,97.736404,167.9156,168.8754,168.65051,841.4689,299.2,0.18294489937779615,0.06705716394774269,0.18294489937779615,1.0,5.550693511962891,7.3909759521484375e-06,5.550700902938843
38,181.7423,181.45752,0.10859755,-1.9965597,0.010787916,0.6519132,-1.8879622,35.976204,683.0156,42.748203,50.751778,536.6585,42.166695,50.849426,84.9149,181.31538,181.52776,181.90984,841.4689,299.2,0.18294489937779615,0.06705716394774269,0.18294489937779615,1.0,5.666326522827148,9.059906005859375e-06,5.666335582733154
39,183.87917,184.35782,0.16164847,-1.9978262,0.010658038,0.3628389,-1.8361777,36.150978,731.92755,44.897774,51.17687,658.5268,39.00625,51.30411,83.90402,184.55081,185.13638,184.92558,2142.3667,605.6,0.4663234893904182,0.1469104290362778,0.4663234893904182,1.0,5.626408100128174,21.44585132598877,27.072259426116943
40,179.55615,178.82663,0.12771896,-1.9995226,0.010964643,0.771074,-1.8718036,36.322777,585.87524,34.10539,51.61004,715.8375,34.626144,51.723972,68.73154,179.77501,180.13159,180.16608,2142.3667,605.6,0.4663234893904182,0.1469104290362778,0.4663234893904182,1.0,5.606469631195068,7.3909759521484375e-06,5.6064770221710205
41,181.82361,181.70691,0.11181678,-1.996106,0.010784123,0.4656902,-1.8842893,36.501244,606.05994,32.556076,52.02252,464.78937,30.977196,52.14651,63.53327,181.87656,182.4705,182.23029,2142.3667,605.6,0.4663234893904182,0.1469104290362778,0.4663234893904182,1.0,5.606939315795898,8.58306884765625e-06,5.606947898864746
42,188.20407,188.35692,0.1334317,-2.0,0.010455251,0.507514,-1.8665683,36.666286,585.44135,30.648005,52.410233,570.89374,34.865547,52.542423,65.51355,188.33723,189.01,188.73041,2142.3667,605.6,0.4663234893904182,0.1469104290362778,0.4663234893904182,1.0,5.333318471908569,7.152557373046875e-06,5.333325624465942
43,191.0058,190.93797,0.10170023,-2.0,0.010296481,0.6413563,-1.8982998,36.839573,544.1393,40.551506,52.842335,547.1879,37.188087,52.955406,77.73959,191.18298,191.73041,191.4676,2142.3667,605.6,0.4663234893904182,0.1469104290362778,0.4663234893904182,1.0,5.407088756561279,5.9604644775390625e-06,5.407094717025757
44,176.76195,177.36728,0.11994341,-1.9959269,0.011080514,0.39196983,-1.8759835,37.028885,491.7498,51.238834,53.249905,609.3764,48.940933,53.335167,100.17976,176.55411,178.1184,177.7355,2142.3667,605.6,0.4663234893904182,0.1469104290362778,0.4663234893904182,1.0,5.5440356731414795,7.3909759521484375e-06,5.544043064117432
45,182.05414,182.03952,0.112097934,-1.9946532,0.010768619,0.57096666,-1.8825552,37.202625,741.01324,34.52626,53.671745,701.0903,42.679745,53.771877,77.20601,181.59804,182.39203,182.6239,2142.3667,605.6,0.4663234893904182,0.1469104290362778,0.4663234893904182,1.0,5.575992584228516,5.7220458984375e-06,5.575998306274414
46,179.18405,179.48996,0.12238214,-2.0,0.010984029,0.8598565,-1.8776178,37.3728,777.4456,44.401783,54.11365,687.41504,44.351337,54.17597,88.75312,179.59216,180.49762,180.33456,2142.3667,605.6,0.4663234893904182,0.1469104290362778,0.4663234893904182,1.0,5.581937074661255,6.9141387939453125e-06,5.581943988800049
47,185.79243,185.51358,0.13319649,-1.9983854,0.010607083,0.5156225,-1.865189,37.53239,534.2832,36.92326,54.491306,517.86176,42.175713,54.543457,79.09897,185.21594,185.78946,185.76877,2142.3667,605.6,0.4663234893904182,0.1469104290362778,0.4663234893904182,1.0,5.510275840759277,7.3909759521484375e-06,5.5102832317352295
48,193.44489,193.54965,0.111499265,-1.9971563,0.010197262,0.6167425,-1.885657,37.68813,570.2922,40.88259,54.89729,435.02832,33.032112,54.932346,73.9147,194.17477,194.70578,194.65375,2142.3667,605.6,0.4663234893904182,0.1469104290362778,0.4663234893904182,1.0,5.424066543579102,6.4373016357421875e-06,5.424072980880737
49,193.18347,192.85803,0.11960958,-1.997843,0.010191698,0.57748485,-1.8782334,37.85102,453.3221,34.894783,55.247765,472.85577,35.05833,55.285847,69.95311,193.18616,193.51129,193.41777,2955.298,759.0,0.6434068550124,0.22965983336563153,0.6434068550124,1.0,5.505669593811035,27.171849012374878,32.67751860618591
50,192.30493,192.08136,0.14907895,-1.9964185,0.010248968,0.54574674,-1.8473395,38.012936,494.5239,32.26584,55.623127,456.60757,35.26667,55.652428,67.53251,192.44519,193.8699,193.43582,2955.298,759.0,0.6434068550124,0.22965983336563153,0.6434068550124,1.0,5.382314443588257,7.152557373046875e-06,5.38232159614563
51,190.03671,189.45848,0.116459735,-1.9965512,0.010368576,0.50070477,-1.8800914,38.184566,915.2377,46.04033,56.000656,1157.7031,56.42182,55.992973,102.46215,189.67244,190.31403,189.92633,2955.298,759.0,0.6434068550124,0.22965983336563153,0.6434068550124,1.0,5.426932096481323,7.3909759521484375e-06,5.426939487457275
52,188.0503,188.12082,0.14179343,-1.9989233,0.010485953,0.5999308,-1.8571298,38.34928,611.2394,29.07993,56.38298,528.72784,28.603256,56.37144,57.683186,188.44884,189.80914,189.86249,2955.298,759.0,0.6434068550124,0.22965983336563153,0.6434068550124,1.0,5.418545722961426,6.4373016357421875e-06,5.4185521602630615
53,180.96869,180.40335,0.14507754,-1.9859728,0.010854466,0.56396365,-1.8408952,38.51657,831.429,50.12983,56.76152,671.61676,44.06311,56.75521,94.19294,179.98065,181.03508,180.81897,2955.298,759.0,0.6434068550124,0.22965983336563153,0.6434068550124,1.0,5.599273681640625,6.9141387939453125e-06,5.599280595779419
54,188.33408,188.39761,0.11512734,-1.996311,0.010472254,0.774011,-1.8811836,38.675983,956.00964,35.863228,57.1256,847.6045,42.84981,57.11204,78.71304,189.87625,190.58148,190.21257,2955.298,759.0,0.6434068550124,0.22965983336563153,0.6434068550124,1.0,5.5146307945251465,7.867813110351562e-06,5.514638662338257
55,182.27744,182.45557,0.11190315,-1.9987066,0.010774015,0.6536945,-1.8868034,38.84452,550.6146,29.017296,57.49418,661.97943,30.52357,57.475586,59.540863,181.75607,183.16281,183.0824,2955.298,759.0,0.6434068550124,0.22965983336563153,0.6434068550124,1.0,5.451489686965942,7.3909759521484375e-06,5.4514970779418945
56,181.48877,181.70511,0.11190606,-1.9910693,0.010814192,0.5790351,-1.8791633,38.9922,622.5758,45.43257,57.8313,614.1148,46.67598,57.809498,92.10855,181.23175,182.16064,182.42119,2955.298,759.0,0.6434068550124,0.22965983336563153,0.6434068550124,1.0,5.334590911865234,6.4373016357421875e-06,5.33459734916687
57,183.96751,183.86188,0.11037865,-1.9953185,0.010701536,0.53534985,-1.8849399,39.137836,798.6757,50.83751,58.16881,765.7078,46.974228,58.160522,97.81174,184.21837,185.57712,185.3565,2955.298,759.0,0.6434068550124,0.22965983336563153,0.6434068550124,1.0,5.495446681976318,6.9141387939453125e-06,5.495453596115112
58,180.69765,181.3787,0.1319932,-1.994773,0.010833314,0.65983546,-1.8627799,39.28958,853.19226,56.72554,58.512886,802.9596,49.860535,58.537487,106.586075,180.35124,181.5486,181.25002,2955.298,759.0,0.6434068550124,0.22965983336563153,0.6434068550124,1.0,5.363204479217529,6.67572021484375e-06,5.363211154937744
59,190.63123,190.88121,0.12711258,-1.9909805,0.010297209,0.4598868,-1.8638679,39.443336,641.48883,39.044273,58.858727,586.91144,37.863846,58.884098,76.90812,190.0646,191.59718,191.40991,3136.647,792.4,0.682910619432987,0.294409945660968,0.682910619432987,1.0,5.376554250717163,27.97577929496765,33.352333545684814
60,189.14386,189.25699,0.11487669,-1.98959,0.010370589,0.5323117,-1.8747134,39.607555,833.03467,37.42501,59.212086,904.3205,36.959923,59.234756,74.38493,189.99675,190.64313,190.80688,3136.647,792.4,0.682910619432987,0.294409945660968,0.682910619432987,1.0,5.37656044960022,5.9604644775390625e-06,5.376566410064697
61,192.50314,191.48842,0.11998854,-1.9939227,0.0102878595,0.86252064,-1.8739341,39.755997,828.85394,55.132896,59.56831,1086.551,64.4691,59.556347,119.602,191.68303,192.75906,192.8469,3136.647,792.4,0.682910619432987,0.294409945660968,0.682910619432987,1.0,5.339105129241943,7.62939453125e-06,5.339112758636475
62,173.4566,172.86127,0.13663292,-1.9891396,0.0113247335,0.51593536,-1.8525066,39.90733,524.8924,34.523598,59.90316,590.3638,30.485859,59.900692,65.00946,173.31494,174.10023,173.75406,3136.647,792.4,0.682910619432987,0.294409945660968,0.682910619432987,1.0,5.333462238311768,8.106231689453125e-06,5.333470344543457
63,193.20337,192.19873,0.09874337,-1.9923242,0.01022955,0.44575047,-1.8935809,40.069157,579.15686,37.278435,60.258682,644.18353,44.803307,60.24654,82.08174,192.34314,193.2749,193.11438,3136.647,792.4,0.682910619432987,0.294409945660968,0.682910619432987,1.0,5.671743392944336,1.239776611328125e-05,5.671755790710449
64,185.1413,185.3952,0.14412902,-1.9980984,0.010585678,0.5996252,-1.8539693,40.224396,534.53204,35.51519,60.598454,563.5662,33.665024,60.579422,69.180214,184.52545,185.65347,185.63187,3136.647,792.4,0.682910619432987,0.294409945660968,0.682910619432987,1.0,5.434973955154419,7.3909759521484375e-06,5.434981346130371
65,199.42642,199.07578,0.10055852,-1.994909,0.009876826,0.64377713,-1.8943505,40.380714,617.23676,41.483223,60.958374,757.6023,44.818245,60.915077,86.30147,198.94962,199.64238,199.41904,3136.647,792.4,0.682910619432987,0.294409945660968,0.682910619432987,1.0,5.550047874450684,7.867813110351562e-06,5.550055742263794
66,188.43481,188.42606,0.12161544,-1.9942238,0.010405727,0.4434395,-1.8726084,40.533154,616.05237,37.61891,61.253822,608.2972,36.35004,61.221836,73.96895,187.8301,188.56293,188.63843,3136.647,792.4,0.682910619432987,0.294409945660968,0.682910619432987,1.0,5.509962797164917,7.3909759521484375e-06,5.509970188140869
67,185.46423,185.40297,0.13246429,-1.991375,0.010570412,0.44355315,-1.8589107,40.68016,489.3224,27.283363,61.58777,487.04843,25.174112,61.5483,52.457474,185.93274,186.6969,186.60301,3136.647,792.4,0.682910619432987,0.294409945660968,0.682910619432987,1.0,5.708517074584961,7.62939453125e-06,5.708524703979492
68,177.86246,177.86862,0.11797078,-1.9810535,0.010977996,1.4656614,-1.8630826,40.826748,859.2519,39.73133,61.920403,769.10284,38.044872,61.86445,77.7762,177.41437,178.6193,178.86185,3136.647,792.4,0.682910619432987,0.294409945660968,0.682910619432987,1.0,5.421343088150024,7.152557373046875e-06,5.4213502407073975
69,188.38599,188.24991,0.14410685,-1.9923766,0.010364147,0.47991017,-1.8482697,40.981117,688.607,44.15577,62.210037,815.55286,46.251884,62.18199,90.40765,188.92023,189.80563,189.56999,3178.1816,809.5,0.6919582294452182,0.34410348113399924,0.6919582294452182,1.0,5.498334646224976,37.25820565223694,42.756540298461914
70,170.36127,170.14886,0.1415582,-1.982747,0.011399884,0.73771226,-1.8411888,41.124355,704.5694,45.43937,62.52914,768.2696,57.194115,62.520466,102.633484,170.89471,172.39099,172.59421,3178.1816,809.5,0.6919582294452182,0.34410348113399924,0.6919582294452182,1.0,5.701492786407471,7.3909759521484375e-06,5.701500177383423
71,191.39421,192.20523,0.093218744,-1.9861592,0.01017418,0.66146153,-1.8929405,41.273186,940.76495,57.85714,62.830246,1056.5764,67.3432,62.81271,125.20034,191.39017,192.54257,192.60703,3178.1816,809.5,0.6919582294452182,0.34410348113399924,0.6919582294452182,1.0,5.41697359085083,7.152557373046875e-06,5.416980743408203
72,193.16562,192.98526,0.105145,-1.9885567,0.01016088,0.4871767,-1.8834118,41.421318,862.93915,48.983925,63.142414,881.36005,58.06262,63.129066,107.04654,192.39542,194.74588,194.17058,3178.1816,809.5,0.6919582294452182,0.34410348113399924,0.6919582294452182,1.0,5.6073668003082275,7.152557373046875e-06,5.607373952865601
73,182.7731,183.47546,0.11616102,-1.9840878,0.010612544,0.53764206,-1.8679268,41.573826,814.9791,54.424362,63.472027,925.89606,58.38432,63.466583,112.808685,183.92946,185.63763,185.44946,3178.1816,809.5,0.6919582294452182,0.34410348113399924,0.6919582294452182,1.0,5.4488770961761475,6.198883056640625e-06,5.448883295059204
74,194.14648,195.1317,0.11929105,-1.9899168,0.010091945,0.3584041,-1.8706257,41.720783,751.599,52.587273,63.80438,835.8936,56.95449,63.782017,109.54176,193.97725,194.55064,194.66702,3178.1816,809.5,0.6919582294452182,0.34410348113399924,0.6919582294452182,1.0,5.3852527141571045,5.9604644775390625e-06,5.385258674621582
75,194.00558,194.27313,0.11496021,-1.994454,0.010130237,0.90052944,-1.8794938,41.864246,880.97626,41.299072,64.11091,957.8534,44.417282,64.09217,85.716354,195.02533,196.1356,196.03665,3178.1816,809.5,0.6919582294452182,0.34410348113399924,0.6919582294452182,1.0,5.377384185791016,7.62939453125e-06,5.377391815185547
76,187.27252,187.48322,0.11900172,-1.9823333,0.010379254,0.5546101,-1.8633316,42.006317,619.502,40.460705,64.41323,844.8591,43.45108,64.395386,83.91179,187.074,188.90385,188.61832,3178.1816,809.5,0.6919582294452182,0.34410348113399924,0.6919582294452182,1.0,5.377485513687134,7.62939453125e-06,5.377493143081665
77,187.94562,187.91406,0.11841888,-1.9905084,0.01043264,0.54974365,-1.8720895,42.13935,901.7741,42.218002,64.684715,854.3812,38.61705,64.67398,80.83505,189.75758,190.55246,190.4003,3178.1816,809.5,0.6919582294452182,0.34410348113399924,0.6919582294452182,1.0,5.537747621536255,7.62939453125e-06,5.537755250930786
78,196.24144,195.51974,0.09838577,-1.99771,0.010004045,0.6744169,-1.8993242,42.29027,529.6932,25.53611,64.97602,368.32425,25.41059,64.96083,50.9467,195.16772,196.6088,196.44312,3178.1816,809.5,0.6919582294452182,0.34410348113399924,0.6919582294452182,1.0,5.542954921722412,7.62939453125e-06,5.542962551116943
79,189.69238,190.10138,0.11924837,-1.9881291,0.010285515,0.49423596,-1.8688807,42.428707,612.54944,39.86684,65.28953,576.1648,42.38856,65.28996,82.2554,189.60156,190.74211,190.4477,3716.657,933.3,0.8092559262777129,0.39578708614996744,0.8092559262777129,1.0,5.622821807861328,33.462791204452515,39.08561301231384
80,213.68817,214.1376,0.104739025,-1.9963354,0.009196633,0.6442914,-1.8915963,42.582844,657.3217,34.91617,65.58604,794.6875,38.92942,65.589836,73.84559,214.03128,214.7607,214.73895,3716.657,933.3,0.8092559262777129,0.39578708614996744,0.8092559262777129,1.0,5.556477069854736,6.67572021484375e-06,5.556483745574951
